_id,pin,address,start_year,approved_date,program_name,num_years,abatement_amount,neighborhood,council_district,ward,dpw_streets,dpw_enviro,dpw_parks,police_zone,fire_zone,longitude,latitude
13298,0025N00030030300,2419 SMALLMAN ST UNIT 303,2017,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.9810798150326,40.45469159090432
13299,0025N00030030400,2419 SMALLMAN ST UNIT 304,2018,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.98103610804957,40.45472202639051
13300,0025N00030030500,2419 SMALLMAN ST UNIT 305,2017,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.98101870628143,40.45470666909986
13301,0025N00030030600,2419 SMALLMAN ST UNIT 306,2018,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.98106194338864,40.45467590351317
13302,0025N00030030700,2419 SMALLMAN ST UNIT 307,2017,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.98110441762543,40.45464570241584
13303,0025N00030030800,2419 SMALLMAN ST UNIT 308,2017,2016-04-16,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.98108658201087,40.454630922662666
13304,0025N00030030900,2419 SMALLMAN ST UNIT 309,2017,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.9810445087858,40.45466135578552
13305,0025N00030040200,2419 SMALLMAN ST UNIT 402,2017,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.98098424660598,40.45467795182651
13306,0025N00030040300,2419 SMALLMAN ST UNIT 403,2017,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.98102750005175,40.45464712614129
13307,0025N00030040400,2419 SMALLMAN ST UNIT 404,2018,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.98107000733381,40.45461689620034
13308,0025N00030040500,2419 SMALLMAN ST UNIT 405,2019,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.98105287586633,40.45460242974924
13309,0025N00030040600,2419 SMALLMAN ST UNIT 406,2017,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.98101003651215,40.45463256840151
13310,0025N00030040700,2419 SMALLMAN ST UNIT 407,2017,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.98096647400138,40.454663165201254
13311,0025N00030040800,2419 SMALLMAN ST UNIT 408,2017,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.98094866631607,40.45464780565952
13312,0025N00030050100,2419 SMALLMAN ST UNIT 501,2018,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.98099236892908,40.454617366791005
13313,0025N00030050200,2419 SMALLMAN ST UNIT 502,2018,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.98103531226757,40.454587450298646
13314,0025N00030050300,2419 SMALLMAN ST UNIT 503,2017,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.98101698102668,40.45457148797132
13315,0025N00030050400,2419 SMALLMAN ST UNIT 504,2019,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.98097451705817,40.45460169024037
13316,0025N00030050500,2419 SMALLMAN ST UNIT 505,2019,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.98093128017337,40.45463245552429
13317,0025N00030050600,2419 SMALLMAN ST UNIT 506,2019,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.98091412270674,40.45461817525569
13318,0025N00030050700,2419 SMALLMAN ST UNIT 507,2018,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.98095707378319,40.454587133990486
13319,0025N00030050900,2419 SMALLMAN ST UNIT 509,2017,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.9809991486993,40.45455669298724
13320,0080G00213000000,5145 CARNEGIE ST,2017,2016-04-26,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95435583689283,40.4791508530361
13321,0080G00215000000,5147 CARNEGIE ST,2018,2016-04-29,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95432664092603,40.479200827359534
13322,0029H00060000000,3756 ORPWOOD ST,,2016-04-28,ACT42 RESIDENTIAL,3,86750,South Oakland,3,4,3,Central,Schenley,4,2-11,-79.95190138574401,40.42877880292945
13323,0083G00064000000,5812 HAYS ST,2017,2016-04-28,ACT42 RESIDENTIAL,3,86750,East Liberty,9,11,2,Central,Highland,5,3-8,-79.92358601759413,40.46830925071294
13324,0083G00065000000,5814 HAYS ST,2017,2016-04-28,ACT42 RESIDENTIAL,3,86750,East Liberty,9,11,2,Central,Highland,5,3-8,-79.92349208286865,40.46827787712831
13325,0083G00067000000,5816 HAYS ST,,2016-04-28,ACT42 RESIDENTIAL,3,86750,East Liberty,9,11,2,Central,Highland,5,3-8,-79.92339796757439,40.468244971065985
13326,0002R00063000000,1315 BLUFF ST,,2021-04-16,CHAPTER 265 BASE,3,175000,Bluff,6,1,3,Central,Schenley,2,2-4,-79.987887409806,40.43533888868832
13327,0011J00002000000,1800 5TH AVE,2013,2012-09-26,RESIDENTIAL LERTA,10,150000,Bluff,6,1,3,Central,Schenley,2,2-1,-79.9806095862393,40.43811171677908
13328,0048M00018000000,3614 SMALLMAN ST,2014,2012-09-28,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-3,-79.96651186089098,40.466322164283426
13329,0084J00081000000,5730 ELLSWORTH AVE,2014,2012-09-28,LOCAL ECONOMIC STIMULUS,10,250000,Shadyside,8,7,2,Eastern,Frick,4,3-11,-79.93118216184428,40.45527165957432
13330,0008S00109000000,130 7TH ST,2010,2008-09-29,RESIDENTIAL LERTA,10,150000,Central Business District,6,2,6,Central,Riverview,2,1-3,-80.0007397859095,40.44364635260737
13331,0025D00104000000,3350 PENN AVE,,2022-04-28,CHAPTER 265 ENHANCED,10,250000,Lower Lawrenceville,7,6,1,Central,Northeast,2,3-2,-79.96740315237771,40.46221646887416
