_id,id,facility_name,num,street,city,state,zip,municipal,category_cd,description,p_code,fdo,bus_st_date,bus_cl_date,seat_count,noroom,sq_feet,status,placard_st,x,y,address
21303,2.01706E+11,Papa John's Pizza #3066,11700,Frankstown  Road,Pittsburgh,PA,15235,Lincoln-Lemington-Belmar,212,Chain Restaurant without Liquor,1,6/14/2017,6/14/2017,,0,,,1,1,-79.82566405,40.46632715,11700 Frankstown  Road PA 15235
15680,2.01011E+11,Carol of Casey's Pizza,11618,Penn Hills Drive,Pittsburgh,PA,15235,Lincoln-Lemington-Belmar,211,Restaurant without Liquor,1,10/27/2010,10/27/2010,,10,,,1,1,-79.82811767,40.46416568,11618 Penn Hills Drive PA 15235
22374,2.02E+11,Iron Born Pizza,413,Grant Avenue,Pittsburgh,PA,15209,Lower Lawrenceville,212,Chain Restaurant without Liquor,1,9/14/2018,9/14/2018,,0,,,1,1,-79.97363991,40.4800127,413 Grant Avenue PA 15209
35942,2.02E+11,Fox's Pizza Den,401,Grant Avenue,Pittsburgh,PA,15209,Lower Lawrenceville,212,Chain Restaurant without Liquor,1,11/7/2022,11/7/2022,,,,,1,1,-79.97326776,40.47980351,401 Grant Avenue PA 15209
33574,2.02E+11,Il Forno Pizza ,376,Butler Street,Pittsburgh,PA,15223,Morningside,211,Restaurant without Liquor,1,4/19/2022,4/19/2022,,0,,900,1,1,-79.94370294,40.49706609,376 Butler Street PA 15223
10309,2.00E+11,Fox's Pizza,6,Bailey Avenue,Pittsburgh,PA,15211,Mount Washington,212,Chain Restaurant without Liquor,1,10/27/2000,10/27/2000,,0,,,1,1,-80.00530647,40.42686045,6 Bailey Ave PA 15211
20899,2.02E+11,Caliente Pizza & Draft House,329,Castle Shannon  Boulevard,Pittsburgh,PA,15234,Mt Lebanon,202,Chain Restaurant with Liquor,0,4/25/2016,4/25/2016,,150,,,1,1,-80.03675311,40.37628138,329 Castle Shannon  Boulevard PA 15234
15099,2.01E+11,Vocelli's Pizza #10,617,Brownsville Road,Pittsburgh,PA,15210,Mt. Oliver,212,Chain Restaurant without Liquor,1,8/16/2010,8/16/2010,,0,,,1,1,-79.99009129,40.41027719,617 Brownsville Road PA 15210
17312,2.01E+11,Aprimo Pizza,516,Brownsville Road,Pittsburgh,PA,15210,Mt. Oliver,211,Restaurant without Liquor,0,6/1/2009,6/1/2009,,0,,,1,1,-79.99001655,40.41159694,516 Brownsville Rd PA 15210
16328,2.01E+11,Mia Pizza,4901,Baum Boulevard,Pittsburgh,PA,15213,North Oakland,211,Restaurant without Liquor,0,9/1/2010,9/1/2010,,0,,,1,1,-79.94653429,40.4547131,4901 Baum Boulevard PA 15213
19729,2.02E+11,Pizza Hut #033986,4710,Baum Boulevard,Pittsburgh,PA,15213,North Oakland,212,Chain Restaurant without Liquor,1,9/5/2017,9/5/2017,,0,,,1,1,-79.94956987,40.45389782,4710 Baum Boulevard PA 15213
22575,2.02E+11,Pizza Pronto AKA Olive's Mediterranean Pizza & Gyro,4611,Centre Avenue,Pittsburgh,PA,15213,North Oakland,211,Restaurant without Liquor,1,8/16/2018,8/16/2018,,0,,,1,1,-79.95161574,40.45214299,4611 Centre Avenue PA 15213
