_id,id,facility_name,num,street,city,state,zip,municipal,category_cd,description,p_code,fdo,bus_st_date,bus_cl_date,seat_count,noroom,sq_feet,status,placard_st,x,y,address
13173,2.01E+11,Unique Pizza & Subs,2102,C Broadway Ave,Pittsburgh,PA,15216,Banksville,211,Restaurant without Liquor,1,2/14/2008,2/14/2008,,0,,,7,,-80.03011235,40.40537877,2102 C Broadway Ave PA 15216
13390,2.00E+11,Pizza Monza,2102,Broadway Ave,Pittsburgh,PA,15216,Banksville,211,Restaurant without Liquor,7,11/17/2003,11/17/2003,,0,,,7,,-80.03011235,40.40537877,2102 Broadway Ave PA 15216
16909,2.01E+11,Sonny & Jo's Pub & Pizza,2957,Banksville Road,Pittsburgh,PA,15216,Banksville,211,Restaurant without Liquor,0,5/14/2010,5/14/2010,5/13/2015,48,,,7,1,-80.04144607,40.40215672,2957 Banksville Road PA 15216
16971,2.01E+11,Ponte's Pizza,1689,McFarland Road,Pittsburgh,PA,15216,Banksville,211,Restaurant without Liquor,1,4/14/2011,4/18/2011,2/21/2012,0,,,7,1,-80.04711072,40.39593888,1689 McFarland Road PA 15216
17985,2.01E+11,Vincenzo's Pizza & Pasta,1689,McFarland Road,Pittsburgh,PA,15216,Banksville,211,Restaurant without Liquor,1,2/23/2012,2/23/2012,10/24/2014,0,,,7,1,-80.04711072,40.39593888,1689 McFarland Road PA 15216
21347,2.02E+11,Bado's Pizza Truck (ZKX7639) MFF4,307,Beverly  Road,Pittsburgh,PA,15216,Banksville,123,Mobile - Tier II ( Prepared Foods),1,12/20/2017,12/20/2017,,,,1,1,1,-80.04972516,40.38849194,307 Beverly  Road PA 15216
21216,2.02E+11,Say Cheese Pizza ,3507,Cable Place,Pittsburgh,PA,15213,Bedford Dwellings,211,Restaurant without Liquor,1,9/29/2016,9/29/2016,7/19/2018,0,,,7,1,-79.95383402,40.43664762,3507 Cable Place PA 15213
13727,2.01E+11,Pizzarella,618,Brookline Blvd,Pittsburgh,PA,15226,Beechview,211,Restaurant without Liquor,1,8/2/2005,8/2/2005,,0,,,7,,-80.02215015,40.3950133,618 Brookline Blvd PA 15226
13795,2.00E+11,Demino's Pizza,1164,Brookline Blvd,Pittsburgh,PA,15226,Beechview,211,Restaurant without Liquor,1,6/4/2004,6/4/2004,11/4/2011,0,,,7,1,-80.01332914,40.39181893,1164 Brookline Blvd PA 15226
14813,2.00E+11,Antonio's Pizza,758,Brookline Boulevard,Pittsburgh,PA,15226,Beechview,211,Restaurant without Liquor,0,4/13/2004,4/13/2004,7/1/2019,28,,,7,1,-80.02016335,40.39360503,758 Brookline Boulevard PA 15226
15934,2.00E+11,Danielle's Pizza,748,Brookline Blvd,Pittsburgh,PA,15226,Beechview,211,Restaurant without Liquor,7,1/3/2003,1/3/2003,,0,,,7,,-80.02037731,40.39375115,748 Brookline Blvd PA 15226
